frame.number|ip.src|ip.dst|_ws.col.protocol|frame.len|kerberos.CNameString|kerberos.realm|kerberos.SNameString|ntlmssp.auth.username|ntlmssp.auth.domain|ntlmssp.auth.hostname
25152|10.1.17.215|10.1.17.255|BROWSER|240||||||
25157|10.1.17.215|10.1.17.255|BROWSER|240||||||
25159|10.1.17.215|10.1.17.255|BROWSER|240||||||
25218|10.1.17.215|10.1.17.2|DCERPC|214||||||
25219|10.1.17.2|10.1.17.215|DCERPC|162||||||
25220|10.1.17.215|10.1.17.2|EPM|222||||||
25221|10.1.17.2|10.1.17.215|EPM|322||||||
25225|10.1.17.215|10.1.17.2|DCERPC|300||||||
25226|10.1.17.2|10.1.17.215|DCERPC|182||||||
25227|10.1.17.215|10.1.17.2|LSARPC|350||||||
25228|10.1.17.2|10.1.17.215|LSARPC|238||||||
25229|10.1.17.215|10.1.17.2|DCERPC|212||||||
25230|10.1.17.2|10.1.17.215|DCERPC|130||||||
25231|10.1.17.215|10.1.17.2|LSARPC|302||||||
25232|10.1.17.2|10.1.17.215|LSARPC|238||||||
25374|10.1.17.215|10.1.17.2|DCERPC|214||||||
25375|10.1.17.2|10.1.17.215|DCERPC|162||||||
25376|10.1.17.215|10.1.17.2|EPM|222||||||
25377|10.1.17.2|10.1.17.215|EPM|322||||||
25382|10.1.17.215|10.1.17.2|DCERPC|851||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
25384|10.1.17.2|10.1.17.215|DCERPC|338||||||
25385|10.1.17.215|10.1.17.2|DCERPC|274||||||
25386|10.1.17.2|10.1.17.215|DCERPC|159||||||
25387|10.1.17.215|10.1.17.2|DRSUAPI|322||||||
25388|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
25389|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
25390|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
25391|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
25392|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
25393|10.1.17.215|10.1.17.2|EPM|222||||||
25394|10.1.17.2|10.1.17.215|EPM|322||||||
25395|10.1.17.215|10.1.17.2|DRSUAPI|258||||||
25396|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
25397|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
25398|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
25399|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
25400|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
25404|10.1.17.215|10.1.17.2|LDAP|404||||||
25406|10.1.17.2|10.1.17.215|LDAP|1450||||||
25409|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
25411|10.1.17.2|10.1.17.215|LDAP|264||||||
25412|10.1.17.215|10.1.17.2|LDAP|238||||||
25413|10.1.17.2|10.1.17.215|LDAP|262||||||
25414|10.1.17.215|10.1.17.2|LDAP|243||||||
25415|10.1.17.2|10.1.17.215|LDAP|220||||||
25416|10.1.17.215|10.1.17.2|LDAP|237||||||
25417|10.1.17.2|10.1.17.215|LDAP|273||||||
25422|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
25424|10.1.17.2|10.1.17.215|LDAP|264||||||
25425|10.1.17.215|10.1.17.2|LDAP|172||||||
25428|10.1.17.2|10.1.17.215|LDAP|330||||||
25430|10.1.17.215|10.1.17.2|LDAP|312||||||
25431|10.1.17.2|10.1.17.215|LDAP|340||||||
25432|10.1.17.215|10.1.17.2|LDAP|129||||||
25435|10.1.17.215|10.1.17.2|LDAP|129||||||
25672|10.1.17.215|10.1.17.2|LDAP|404||||||
25674|10.1.17.2|10.1.17.215|LDAP|1450||||||
25677|10.1.17.215|10.1.17.2|LDAP|760||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
25679|10.1.17.2|10.1.17.215|LDAP|264||||||
25680|10.1.17.215|10.1.17.2|LDAP|191||||||
25681|10.1.17.2|10.1.17.215|LDAP|224||||||
25682|10.1.17.215|10.1.17.2|LDAP|253||||||
25683|10.1.17.2|10.1.17.215|LDAP|676||||||
25694|10.1.17.215|10.1.17.2|LDAP|274||||||
25696|10.1.17.2|10.1.17.215|LDAP|143||||||
25707|10.1.17.215|10.1.17.2|LDAP|274||||||
25709|10.1.17.2|10.1.17.215|LDAP|143||||||
25715|10.1.17.215|10.1.17.2|LDAP|273||||||
25717|10.1.17.2|10.1.17.215|LDAP|242||||||
25723|10.1.17.215|10.1.17.2|LDAP|283||||||
25725|10.1.17.2|10.1.17.215|LDAP|143||||||
25726|10.1.17.215|10.1.17.2|LDAP|251||||||
25727|10.1.17.2|10.1.17.215|LDAP|220||||||
25728|10.1.17.215|10.1.17.2|LDAP|129||||||
25842|10.1.17.215|10.1.17.2|DCERPC|214||||||
25843|10.1.17.2|10.1.17.215|DCERPC|162||||||
25844|10.1.17.215|10.1.17.2|EPM|222||||||
25845|10.1.17.2|10.1.17.215|EPM|322||||||
25850|10.1.17.215|10.1.17.2|DCERPC|851||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
25852|10.1.17.2|10.1.17.215|DCERPC|338||||||
25853|10.1.17.215|10.1.17.2|DCERPC|274||||||
25854|10.1.17.2|10.1.17.215|DCERPC|159||||||
25855|10.1.17.215|10.1.17.2|DRSUAPI|322||||||
25856|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
25857|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
25858|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
